Image Name | Expected Plate | Detected Plate | Match | Confidence | CER 
12.png | 35ug680 | "35uug680 | ✗ | 0.32 | 0.71 
13.png | 36tu537 | 4ml36tu537 | ✗ | 0.20 | 0.57 
14.png | 01of101 | 01of101 | ✓ | 0.99 | 1.00 
15.png | 44aa474 | 44aa474 | ✓ | 1.00 | 1.00 
16.png | 36pq246 | ai36pq246 | ✗ | 0.60 | 0.71 
17.png | 09qq800 | 02qq800 | ✗ | 0.76 | 0.86 
18.png | 78cz788 | 78cz788 | ✓ | 0.81 | 1.00 
19.png | 91xd091 | p1xd1 | ✗ | 0.41 | 0.57 
1B09HSY.png | ksh509 | ksh | ✗ | 1.00 | 0.50 
2.png | 37an932 | 37an932 | ✓ | 0.72 | 1.00 
20.png | 35gv213 | am | ✗ | 0.46 | 0.00 
21.png | 60oq404 | am | ✗ | 1.00 | 0.00 
22.png | 60xq909 | fi6gxq909 | ✗ | 0.56 | 0.57 
23.png | 89gm777 | 89gm777 | ✓ | 0.75 | 1.00 
24.png | 07tm717 | am | ✗ | 0.98 | 0.14 
25.png | 36fx312 | 36fx312 | ✓ | 0.85 | 1.00 
26.png | 04aa202 | am | ✗ | 0.83 | 0.14 
27.png | 23qq777 | 2300777 | ✗ | 0.93 | 0.71 
28.png | 35mf902 | 35mf902 | ✓ | 0.76 | 1.00 
29.png | 36ux923 | 36ux923 | ✓ | 0.33 | 1.00 
3.png | 36vt734 | 9r6vt734 | ✗ | 0.10 | 0.71 
30.png | 88sl818 | ami | ✗ | 0.93 | 0.00 
31.png | 17xu777 | am | ✗ | 0.92 | 0.00 
32.png | 09vp019 | 09vp019 | ✓ | 0.97 | 1.00 
33.png | 36va047 | ami36va047 | ✗ | 0.41 | 0.57 
34.png | 35mv523 | a135mv523 | ✗ | 0.75 | 0.71 
35.png | 01og070 | am | ✗ | 1.00 | 0.00 
36.png | 35fc747 | am | ✗ | 0.97 | 0.00 
37.png | 36sq670 | am | ✗ | 0.90 | 0.00 
38.png | 36ml879 | am | ✗ | 0.99 | 0.14 
39.png | 36qz976 | 36qz976 | ✓ | 0.90 | 1.00 
39325856-39325856_4_0.png | sq146qs | so746os | ✗ | 0.30 | 0.57 
39326224-39326224_11_0.png | ga2378 | ga2378 | ✓ | 0.67 | 1.00 
39327125-39327125_2_0.png | js929sj | js929sj | ✓ | 0.94 | 1.00 
39328108-39328108_10_0.png | mm569mm | mn569mm | ✗ | 0.45 | 0.86 
39332275-39332275_1_0.png | tt934tl | tt934tl | ✓ | 0.54 | 1.00 
39335077-39335077_6_0.png | kk196ff | kk126ff | ✗ | 0.69 | 0.86 
39335223-39335223_10_0.png | ge100sh | ge700sh: | ✗ | 0.49 | 0.71 
39335223-39335223_6_0.png | ge4489 | 6e4482 | ✗ | 0.48 | 0.67 
39335560-39335560_8_0.png | ga1279 | ga1279 | ✓ | 0.86 | 1.00 
39335755-39335755_7_0.png | yr111sh | ge | ✗ | 1.00 | 0.00 
39336944-39336944_5_0.png | 0i60500 | 060500 | ✗ | 0.82 | 0.86 
39338298-39338298_3_0.png | ge6367 | ge6367 | ✓ | 0.97 | 1.00 
39339381-39339381_6_0.png | ga5798 | ge | ✗ | 1.00 | 0.17 
39340307-39340307_4_0.png | gg7815 | ge | ✗ | 1.00 | 0.17 
39340307-39340307_4_1.png | ssi836 | ess[836 | ✗ | 0.19 | 0.67 
39340307-39340307_4_2.png | ii365gg | em3365g6 | ✗ | 0.19 | 0.43 
39340309-39340309_4_0.png | ge0962 | ge0962 | ✓ | 0.88 | 1.00 
39340483-39340483_1_0.png | gt3857 | ge | ✗ | 0.99 | 0.17 
39341069-39341069_3_0.png | mm059vv | mm059vv | ✓ | 0.70 | 1.00 
39341326-39341326_2_0.png | ge5536 | ge5536 | ✓ | 0.57 | 1.00 
39341358-39341358_5_0.png | pp544aa | ge | ✗ | 1.00 | 0.00 
39341570-39341570_3_0.png | vv8970v | ~labtqb | ✗ | 0.03 | 0.00 
39341570-39341570_3_1.png | wg406gw | wg406gh | ✗ | 0.46 | 0.86 
39342071-39342071_2_0.png | r0939bi | ge | ✗ | 0.98 | 0.00 
39342189-39342189_9_0.png | hh540ll | hk54oll | ✗ | 0.41 | 0.71 
39342363-39342363_4_0.png | tt042t0 | tt042t0 | ✓ | 0.31 | 1.00 
39342502-39342502_7_0.png | 00935rr | 00935rr | ✓ | 1.00 | 1.00 
39342601-39342601_3_0.png | 0w587w0 | 0582ho | ✗ | 0.71 | 0.43 
39342601-39342601_3_1.png | wm111wm | hm111hm | ✗ | 0.24 | 0.71 
39342752-39342752_2_0.png | gg0736 | ge | ✗ | 1.00 | 0.17 
39342961-39342961_2_0.png | lyz100 | ge0 | ✗ | 0.37 | 0.17 
39343230-39343230_3_0.png | ge0059 | ge | ✗ | 0.91 | 0.33 
39343409-39343409_14_0.png | ge1945 | ge71945 | ✗ | 0.49 | 0.83 
39343593-39343593_2_0.png | gg6628 | 6g6628 | ✗ | 0.56 | 0.83 
39344927-39344927_3_0.png | aa705xx | aa705xx | ✓ | 0.48 | 1.00 
39345138-39345138_7_0.png | ak777hl | ak777hl | ✓ | 0.86 | 1.00 
39346537-39346537_2_0.png | vb455vb | vb455vb | ✓ | 0.86 | 1.00 
39348536-39348536_3_0.png | 0u090u0 | ou020uo_ | ✗ | 0.17 | 0.43 
39348832-39348832_2_0.png | hkh909 | hkhg9 | ✗ | 0.50 | 0.67 
39349817-39349817_3_0.png | em555ka | em555ka: | ✗ | 0.41 | 0.86 
39350694-39350694_4_0.png | al500be | al5odbe | ✗ | 0.40 | 0.71 
39351380-39351380_3_0.png | hh672ll | ha672ll | ✗ | 0.35 | 0.86 
39351607-39351607_4_0.png | vd416dv | vd416dv | ✓ | 0.40 | 1.00 
39352219-39352219_1_0.png | ii305dd | 305dd | ✗ | 0.23 | 0.71 
39352330-39352330_14_0.png | gu500ra | gu5o0ra | ✗ | 0.79 | 0.86 
39352652-39352652_12_0.png | gt4026 | ge | ✗ | 0.95 | 0.17 
39352939-39352939_12_0.png | mi025ss | ge | ✗ | 1.00 | 0.00 
39353213-39353213_11_0.png | hj396jh | hj396jhd | ✗ | 0.48 | 0.86 
39353533-39353533_3_0.png | ja100mr | jr | ✗ | 0.74 | 0.29 
39353905-39353905_4_0.png | ge9891 | geo8mn | ✗ | 0.54 | 0.50 
39354508-39354508_1_0.png | rhr368 | grhre368 | ✗ | 0.70 | 0.67 
39355038-39355038_8_0.png | mm916mw | mm216m | ✗ | 0.44 | 0.71 
39355670-39355670_1_0.png | ga3093 | ge | ✗ | 1.00 | 0.17 
39356825-39356825_9_0.png | dt333ex | d:333ex | ✗ | 0.31 | 0.86 
39357012-39357012_2_0.png | le001ch | leoo1ch | ✗ | 0.38 | 0.71 
39357030-39357030_4_0.png | t0700da | to700da | ✗ | 0.42 | 0.86 
39357041-39357041_4_0.png | ww909mm | hw909mm | ✗ | 0.35 | 0.86 
39357315-39357315_5_0.png | gt3363 | gt3363 | ✓ | 0.99 | 1.00 
39357537-39357537_1_0.png | tn635nt | tn635nt | ✓ | 0.78 | 1.00 
39357570-39357570_6_0.png | ge8613 | ge8613 | ✓ | 0.93 | 1.00 
39358648-39358648_1_0.png | d0011it | ge | ✗ | 1.00 | 0.00 
39359460-39359460_4_0.png | ga8274 | ga8274 | ✓ | 0.71 | 1.00 
39359595-39359595_4_0.png | i0060i0 | 0060l0 | ✗ | 0.14 | 0.71 
39359675-39359675_10_0.png | sp011ec | spoiec: | ✗ | 0.23 | 0.43 
39362622-39362622_2_0.png | 00636hh | 00636hh | ✓ | 0.94 | 1.00 
39363006-39363006_1_0.png | zn880nz | zn880nz | ✓ | 0.75 | 1.00 
39363751-39363751_4_0.png | gg1021 | 661021 | ✗ | 0.80 | 0.67 
39364628-39364628_1_0.png | ge6926 | ge6926 | ✓ | 0.87 | 1.00 
39364712-39364712_3_0.png | am030ge | an030ge | ✗ | 0.75 | 0.86 
39370468-39370468_1_0.png | r0888da | ro888*da | ✗ | 0.85 | 0.71 
39371738-39371738_8_0.png | rr685yy | rr685vy | ✗ | 0.18 | 0.86 
39372956-39372956_1_0.png | ej435je | ej435je | ✓ | 0.93 | 1.00 
39376589-39376589_1_0.png | jj223uu | ge | ✗ | 1.00 | 0.00 
39378478-39378478_3_0.png | tm1000a | ge | ✗ | 0.99 | 0.00 
39378886-39378886_5_0.png | pl461lp | ge | ✗ | 1.00 | 0.00 
39380451-39380451_4_0.png | zu517ka | ge | ✗ | 0.95 | 0.00 
39380766-39380766_2_0.png | da788t0 | da788to | ✗ | 0.98 | 0.86 
39381020-39381020_4_0.png | mm756mk | ge | ✗ | 1.00 | 0.00 
39381651-39381651_9_0.png | gk090gk | gk020gk | ✗ | 0.28 | 0.86 
39381711-39381711_1_0.png | ga3627 | ga3627 | ✓ | 0.97 | 1.00 
39382700-39382700_2_0.png | aw902aw | ge | ✗ | 0.96 | 0.00 
39383243-39383243_8_0.png | ge4338 | ge4338 | ✓ | 0.93 | 1.00 
39383375-39383375_7_0.png | nr690rn | nr620rnb | ✗ | 0.32 | 0.71 
39383396-39383396_2_1.png | wv270ww | kv:270wh | ✗ | 0.61 | 0.57 
39383853-39383853_1_0.png | kk978ww | kk978hw | ✗ | 0.63 | 0.86 
39383902-39383902_3_0.png | m0444re | mo444re | ✗ | 0.42 | 0.86 
39385306-39385306_6_0.png | gf440gf | gf440gf | ✓ | 0.90 | 1.00 
39386486-39386486_4_0.png | uu635uv | uu635uv | ✓ | 0.94 | 1.00 
39386594-39386594_4_1.png | ga6758 | ga6758 | ✓ | 0.32 | 1.00 
39386643-39386643_5_0.png | gg7445 | 667445 | ✗ | 0.80 | 0.67 
39387197-39387197_6_0.png | ff361vv | ff361v | ✗ | 0.68 | 0.86 
39387941-39387941_2_0.png | ik09300 | ik09300 | ✓ | 0.59 | 1.00 
39388174-39388174_3_0.png | bb168ll | bb168lla | ✗ | 0.52 | 0.86 
39388886-39388886_1_0.png | lt297tt | li227itd | ✗ | 0.35 | 0.43 
39389072-39389072_4_0.png | vq667qv | vo662qv | ✗ | 0.46 | 0.71 
39390335-39390335_1_0.png | gt2929 | ge | ✗ | 1.00 | 0.17 
39390449-39390449_2_0.png | ss040sq | ss04osq | ✗ | 0.28 | 0.86 
39390627-39390627_4_0.png | ga0306 | g40306 | ✗ | 0.64 | 0.83 
39391182-39391182_4_0.png | th798ht | th798ht | ✓ | 0.64 | 1.00 
39391332-39391332_1_0.png | nn051hn | nn054hn | ✗ | 0.79 | 0.86 
39391354-39391354_3_0.png | dd011vv | ge | ✗ | 1.00 | 0.00 
39391731-39391731_6_0.png | s0171fi | ge | ✗ | 1.00 | 0.00 
39392163-39392163_5_0.png | ga1266 | ga1266 | ✓ | 0.80 | 1.00 
39392284-39392284_6_0.png | cyc183 | @cyc?183 | ✗ | 0.58 | 0.67 
39392402-39392402_3_0.png | aa315ss | ge | ✗ | 0.75 | 0.00 
39392857-39392857_5_0.png | gg8990 | gg8990 | ✓ | 0.46 | 1.00 
39392913-39392913_6_0.png | ga6778 | ga6778 | ✓ | 0.99 | 1.00 
39393001-39393001_3_0.png | gt1656 | gt1656 | ✓ | 0.94 | 1.00 
39393481-39393481_3_0.png | qq502ee | @0502ee | ✗ | 0.30 | 0.71 
3A3898.png | 85acye | cye | ✗ | 1.00 | 0.50 
3A4S08.png | 80sp5e | pse | ✗ | 0.93 | 0.33 
3BV29.png | 57aaee | aee | ✗ | 1.00 | 0.50 
3CAS0Z.png | 23sf3e | 23sf3e | ✓ | 0.29 | 1.00 
3CNWM6.png | 9amn3e | n3e | ✗ | 0.64 | 0.50 
3CW9CV.png | 136m3e | 136 | ✗ | 1.00 | 0.50 
3CWWW6.png | 9amn3e | n3e | ✗ | 0.84 | 0.50 
3CZ86SC.png | 3sb23e | 3sb"23e | ✗ | 0.59 | 0.83 
3CZL0SL.png | 15u73e | 73 | ✗ | 1.00 | 0.33 
3G3CC8.png | 833e9e | 833 | ✗ | 1.00 | 0.50 
3GAS08.png | 80sp5e | 80s | ✗ | 0.92 | 0.50 
3GV0V9.png | 6aua5e | ase | ✗ | 0.98 | 0.33 
3IS8ZZ.png | 778sie | z78esie | ✗ | 0.50 | 0.67 
3LC69Q.png | 559j1e | 5593jie | ✗ | 0.44 | 0.67 
3OZZ4L.png | 172z0e | 172 | ✗ | 1.00 | 0.50 
3S6CZ8.png | bz395e | 95e | ✗ | 1.00 | 0.50 
3WVV99.png | 55aare | are | ✗ | 1.00 | 0.50 
3XOVZ9.png | 87acke | 87a | ✗ | 0.99 | 0.50 
3Z78V8.png | 8arl7e | 8arlze | ✗ | 0.62 | 0.83 
3Z97X8.png | 8k262e | 62e | ✗ | 1.00 | 0.50 
3ZB999.png | 655e2e | 655 | ✗ | 1.00 | 0.50 
3ZQSV8.png | 8asd2e | 8as | ✗ | 0.99 | 0.50 
3ZZ96C.png | 396z2e | 396 | ✗ | 1.00 | 0.50 
4.png | 36ro464 | am | ✗ | 0.99 | 0.00 
40.png | 20dq777 | 2udq777 | ✗ | 0.19 | 0.86 
41.png | 37al876 | 37al876 | ✓ | 0.94 | 1.00 
42.png | 11ta177 | ami | ✗ | 0.63 | 0.14 
43.png | 36ud192 | ami36ud192 | ✗ | 0.51 | 0.57 
44.png | 36mc231 | 36 | ✗ | 1.00 | 0.29 
45.png | 11dd171 | am | ✗ | 0.88 | 0.00 
46.png | 40va440 | 04gva440 | ✗ | 0.28 | 0.71 
47.png | 84zz999 | 584zz999 | ✗ | 0.36 | 0.86 
48.png | 37ot007 | aml | ✗ | 0.78 | 0.00 
49.png | 01af050 | 01af050_ | ✗ | 0.57 | 0.86 
4BPVS8.png | rp51489 | rp51489 | ✓ | 0.67 | 1.00 
4TZSRNN.png | nbsz117 | nb | ✗ | 1.00 | 0.29 
4Z6LZ8L.png | 1bz1927 | 1bz | ✗ | 0.86 | 0.43 
5.png | 94oc999 | 94oc999 | ✓ | 0.99 | 1.00 
50.png | 80nm800 | 86nmb61 | ✗ | 0.24 | 0.43 
51.png | 36dt299 | 36dt299 | ✓ | 0.89 | 1.00 
52.png | 37al605 | 37al605 | ✓ | 1.00 | 1.00 
53.png | 36xv651 | 36xv651 | ✓ | 1.00 | 1.00 
54.png | 36rn374 | ami | ✗ | 0.66 | 0.00 
55.png | 36pv764 | am136pv764 | ✗ | 0.53 | 0.57 
56.png | 34st603 | am | ✗ | 0.97 | 0.00 
57.png | 44vv441 | am | ✗ | 0.39 | 0.00 
58.png | 36vm782 | 36vm782 | ✓ | 1.00 | 1.00 
59.png | 87ng087 | 87ng087 | ✓ | 0.97 | 1.00 
6.png | 38mx402 | 36mx402 | ✗ | 0.98 | 0.86 
60.png | 29rd999 | 29rd999 | ✓ | 0.98 | 1.00 
61.png | 50on500 | ami | ✗ | 0.63 | 0.00 
613.png | 36zd555 | 36zd555 | ✓ | 0.92 | 1.00 
614.png | 36pr676 | 136pr676 | ✗ | 0.72 | 0.86 
615.png | 60ma900 | 6oma%0 | ✗ | 0.62 | 0.57 
616.png | 73mo007 | 73mo007 | ✓ | 0.45 | 1.00 
617.png | 50xo002 | 50xo002 | ✓ | 0.88 | 1.00 
618.png | 47ta777 | 47ta777 | ✓ | 0.88 | 1.00 
619.png | 36xx311 | 36xx311 | ✓ | 0.96 | 1.00 
62.png | 69dd966 | 162dd966 | ✗ | 0.67 | 0.71 
620.png | 78qq080 | 78qq080 | ✓ | 0.94 | 1.00 
621.png | 01tg202 | am | ✗ | 0.94 | 0.00 
622.png | 34vz377 | 34vz377 | ✓ | 0.93 | 1.00 
623.png | 34qf966 | am | ✗ | 0.99 | 0.00 
624.png | 34vv846 | 34vv846 | ✓ | 0.91 | 1.00 
625.png | 99mg899 | am | ✗ | 0.97 | 0.14 
626.png | 97ss097 | 5197ss097 | ✗ | 0.38 | 0.71 
627.png | 36um433 | 36um433 | ✓ | 0.96 | 1.00 
628.png | 36nr181 | am | ✗ | 1.00 | 0.00 
629.png | 36sm685 | am | ✗ | 1.00 | 0.14 
63.png | 65vf065 | 65vf065 | ✓ | 0.41 | 1.00 
630.png | 36oz055 | 4i36oz055 | ✗ | 0.61 | 0.71 
631.png | 35tm705 | 135tm705 | ✗ | 0.84 | 0.86 
632.png | 11aa700 | 11aa700 | ✓ | 0.85 | 1.00 
633.png | 71vf071 | 71vf071 | ✓ | 0.97 | 1.00 
634.png | 35nf130 | am | ✗ | 0.96 | 0.00 
635.png | 36ur958 | am | ✗ | 1.00 | 0.00 
636.png | 36mg488 | c1bgmg488 | ✗ | 0.20 | 0.43 
637.png | 37cp216 | am | ✗ | 0.99 | 0.00 
638.png | 36xr845 | am | ✗ | 0.98 | 0.00 
639.png | 36rs727 | am | ✗ | 0.99 | 0.00 
64.png | 37cg114 | am | ✗ | 0.99 | 0.00 
640.png | 48ar048 | 48ar048 | ✓ | 0.95 | 1.00 
641.png | 77ru100 | 77ru10 | ✗ | 0.87 | 0.86 
642.png | 35tv572 | am | ✗ | 0.99 | 0.00 
643.png | 36fu701 | 36fu701 | ✓ | 0.95 | 1.00 
644.png | 36gm347 | 36gm347 | ✓ | 0.94 | 1.00 
645.png | 36sz961 | am | ✗ | 1.00 | 0.00 
646.png | 35mv523 | e5mv523 | ✗ | 0.44 | 0.86 
647.png | 36sg968 | 36sg968 | ✓ | 0.95 | 1.00 
648.png | 77lx772 | am | ✗ | 0.99 | 0.00 
649.png | 50an001 | am | ✗ | 0.91 | 0.14 
65.png | 36mf927 | 36mf927 | ✓ | 0.89 | 1.00 
