Image Name | Expected Plate | Detected Plate | Match | Confidence | CER 
656.png | 001ot01 | ami | ✗ | 0.83 | 0.00 
657.png | 35dv691 | 135dv621 | ✗ | 0.54 | 0.71 
658.png | 36uz471 | bbuz471 | ✗ | 0.67 | 0.71 
659.png | 35co472 | 35co472 | ✓ | 0.67 | 1.00 
66.png | 71sg071 | z1sg071 | ✗ | 0.47 | 0.86 
660.png | 36mf879 | 36mf879 | ✓ | 1.00 | 1.00 
661.png | 36qs557 | am | ✗ | 0.96 | 0.00 
662.png | 25am222 | 425am222 | ✗ | 0.19 | 0.86 
663.png | 32cc111 | am | ✗ | 0.98 | 0.00 
664.png | 77ul677 | am | ✗ | 0.96 | 0.00 
665.png | 36nm352 | am | ✗ | 1.00 | 0.14 
666.png | 04so880 | am | ✗ | 1.00 | 0.00 
667.png | 60lx060 | ju6flx060 | ✗ | 0.15 | 0.57 
668.png | 35qz727 | am | ✗ | 0.98 | 0.00 
669.png | 23ll611 | 23ll611 | ✓ | 0.79 | 1.00 
67.png | 36td096 | 36td096 | ✓ | 0.91 | 1.00 
670.png | 36fd508 | 36fd508 | ✓ | 0.88 | 1.00 
671.png | 95qr999 | 125@r992 | ✗ | 0.31 | 0.43 
672.png | 06uu700 | am | ✗ | 1.00 | 0.00 
673.png | 29so240 | 44 | ✗ | 0.68 | 0.14 
674.png | 26gg888 | am | ✗ | 0.99 | 0.00 
675.png | 36og536 | a1b60g536 | ✗ | 0.62 | 0.43 
676.png | 36mq853 | 36mq853 | ✓ | 0.90 | 1.00 
677.png | 16vv666 | m | ✗ | 0.98 | 0.00 
678.png | 01nt010 | am | ✗ | 0.96 | 0.00 
679.png | 36xf837 | am | ✗ | 0.98 | 0.00 
68.png | 58va588 | 58va588 | ✓ | 0.98 | 1.00 
680.png | 36fg211 | 36fg211 | ✓ | 0.77 | 1.00 
681.png | 36pt316 | 6i36pt316 | ✗ | 0.15 | 0.71 
682.png | 36zg560 | am | ✗ | 1.00 | 0.00 
683.png | 30vu030 | am | ✗ | 0.90 | 0.00 
684.png | 36qv108 | 36qv108 | ✓ | 0.81 | 1.00 
685.png | 36tl897 | am | ✗ | 0.99 | 0.00 
686.png | 55lx545 | ami | ✗ | 0.86 | 0.00 
687.png | 96od699 | am | ✗ | 0.99 | 0.00 
688.png | 44md441 | 44 | ✗ | 1.00 | 0.29 
689.png | 12am122 | am | ✗ | 0.79 | 0.29 
69.png | 35qa066 | 435@a066 | ✗ | 0.45 | 0.71 
690.png | 78mn008 | am | ✗ | 0.99 | 0.14 
691.png | 55sv535 | 55sv535 | ✓ | 0.71 | 1.00 
692.png | 35um903 | am | ✗ | 0.99 | 0.14 
693.png | 37at454 | 4 | ✗ | 0.88 | 0.14 
694.png | 36of282 | 36of284 | ✗ | 0.26 | 0.86 
695.png | 50sz150 | 50sz150 | ✓ | 0.56 | 1.00 
696.png | 08xx800 | au | ✗ | 0.81 | 0.00 
697.png | 35cq048 | am | ✗ | 1.00 | 0.00 
698.png | 89dq888 | 89dq888 | ✓ | 0.77 | 1.00 
699.png | 36mf814 | am | ✗ | 1.00 | 0.14 
7.png | 35fp398 | am | ✗ | 1.00 | 0.00 
70.png | 60mm800 | am | ✗ | 1.00 | 0.14 
700.png | 36dm548 | 36dm548 | ✓ | 0.96 | 1.00 
701.png | 36sn104 | 36sn104 | ✓ | 0.96 | 1.00 
702.png | 37at926 | 37 | ✗ | 1.00 | 0.29 
703.png | 80cp990 | 80cp990 | ✓ | 0.88 | 1.00 
704.png | 99ud909 | 99ud909 | ✓ | 0.99 | 1.00 
705.png | 70ap707 | am | ✗ | 0.97 | 0.14 
706.png | 19tq001 | am | ✗ | 1.00 | 0.00 
707.png | 36xx042 | 36xx042 | ✓ | 0.98 | 1.00 
708.png | 36vv994 | 36vv994 | ✓ | 0.69 | 1.00 
709.png | 36ts075 | 36ts075] | ✗ | 0.67 | 0.86 
710.png | 95tm005 | 95imod5 | ✗ | 0.12 | 0.57 
711.png | 71gu717 | 571gu712 | ✗ | 0.30 | 0.71 
712.png | 70fu070 | am | ✗ | 0.97 | 0.00 
713.png | 36gl238 | 36gl238 | ✓ | 0.99 | 1.00 
714.png | 36ua539 | f136ua539 | ✗ | 0.35 | 0.71 
715.png | 36qf181 | am | ✗ | 1.00 | 0.00 
716.png | 35mq760 | am | ✗ | 1.00 | 0.14 
717.png | 13cc999 | bcc222 | ✗ | 0.42 | 0.29 
718.png | 01tt135 | m1ti135 | ✗ | 0.32 | 0.71 
719.png | 36og435 | 360g435 | ✗ | 0.97 | 0.86 
720.png | 09oo090 | 0200w20 | ✗ | 0.26 | 0.29 
721.png | 73ga737 | am | ✗ | 1.00 | 0.14 
722.png | 35ms630 | c35ms630 | ✗ | 0.44 | 0.86 
723.png | 71ma700 | a | ✗ | 0.95 | 0.14 
724.png | 02td101 | 02td161 | ✗ | 0.73 | 0.86 
725.png | 47rp047 | 47rp047 | ✓ | 0.92 | 1.00 
726.png | 01nv021 | am | ✗ | 1.00 | 0.00 
727.png | 01rr177 | 01rr177 | ✓ | 0.98 | 1.00 
728.png | 10dr055 | 410dr055 | ✗ | 0.34 | 0.86 
729.png | 36rz868 | 6rz868 | ✗ | 0.95 | 0.86 
730.png | 77zs477 | ami | ✗ | 0.83 | 0.00 
731.png | 05ag055 | 05ag055 | ✓ | 0.67 | 1.00 
732.png | 11ml505 | am | ✗ | 0.99 | 0.14 
733.png | 36qg952 | ami36qg952 | ✗ | 0.52 | 0.57 
734.png | 74uq777 | am | ✗ | 0.99 | 0.00 
735.png | 36zz765 | am | ✗ | 0.89 | 0.00 
736.png | 13mn003 | 13mn003 | ✓ | 0.90 | 1.00 
737.png | 91dn009 | am | ✗ | 0.87 | 0.00 
738.png | 36xo368 | 136xo368 | ✗ | 0.16 | 0.86 
739.png | 88ux988 | ami88ux988 | ✗ | 0.68 | 0.57 
740.png | 36xr775 | 36xr775 | ✓ | 0.57 | 1.00 
741.png | 36zc453 | 36zc453 | ✓ | 0.88 | 1.00 
742.png | 46as777 | f46as777 | ✗ | 0.48 | 0.86 
743.png | 11gp110 | am | ✗ | 0.99 | 0.00 
744.png | 77vv778 | 477vv778 | ✗ | 0.90 | 0.86 
745.png | 36lg550 | 36lg550 | ✓ | 0.99 | 1.00 
746.png | 79qa779 | am | ✗ | 1.00 | 0.14 
747.png | 88xm887 | elexhbbz | ✗ | 0.09 | 0.00 
748.png | 36ut833 | 36ut833 | ✓ | 0.67 | 1.00 
749.png | 05oq070 | 050q070 | ✗ | 0.89 | 0.86 
750.png | 80ar800 | am | ✗ | 0.75 | 0.14 
751.png | 01ag102 | 01ag102 | ✓ | 0.96 | 1.00 
752.png | 35sm611 | 35sm611 | ✓ | 0.93 | 1.00 
753.png | 01lg202 | 01lg202 | ✓ | 0.72 | 1.00 
754.png | 36vc362 | ami | ✗ | 0.85 | 0.00 
755.png | 53uu555 | li53uu555 | ✗ | 0.29 | 0.71 
756.png | 36ux043 | 36ux0g3 | ✗ | 0.39 | 0.86 
757.png | 60va099 | am | ✗ | 1.00 | 0.14 
758.png | 93gg300 | am | ✗ | 0.89 | 0.00 
759.png | 35of658 | am | ✗ | 0.99 | 0.00 
760.png | 35xr837 | 35 | ✗ | 1.00 | 0.29 
761.png | 69co696 | g62cq626 | ✗ | 0.21 | 0.43 
762.png | 35dx153 | am | ✗ | 0.99 | 0.00 
763.png | 05dm505 | am | ✗ | 0.92 | 0.14 
764.png | 36of263 | am | ✗ | 0.84 | 0.00 
765.png | 36nx595 | 36nk595 | ✗ | 0.89 | 0.86 
766.png | 88xq988 | 88xq988 | ✓ | 0.99 | 1.00 
8.png | 77cp772 | 77cp772 | ✓ | 0.58 | 1.00 
9.png | 80xf080 | 80xf080 | ✓ | 0.49 | 1.00 
39325856-39325856_4_0.png | sq146qs | so746os | ✗ | 0.30 | 0.57 
39326224-39326224_11_0.png | ga2378 | ga2378 | ✓ | 0.67 | 1.00 
39327125-39327125_2_0.png | js929sj | js929sj | ✓ | 0.94 | 1.00 
39328108-39328108_10_0.png | mm569mm | mn569mm | ✗ | 0.45 | 0.86 
39332275-39332275_1_0.png | tt934tl | tt934tl | ✓ | 0.54 | 1.00 
39335077-39335077_6_0.png | kk196ff | kk126ff | ✗ | 0.69 | 0.86 
39335223-39335223_10_0.png | ge100sh | ge700sh: | ✗ | 0.49 | 0.71 
39335223-39335223_6_0.png | ge4489 | 6e4482 | ✗ | 0.48 | 0.67 
39335560-39335560_8_0.png | ga1279 | ga1279 | ✓ | 0.86 | 1.00 
39335755-39335755_7_0.png | yr111sh | ge | ✗ | 1.00 | 0.00 
39336944-39336944_5_0.png | 0i60500 | 060500 | ✗ | 0.82 | 0.86 
39338298-39338298_3_0.png | ge6367 | ge6367 | ✓ | 0.97 | 1.00 
39339381-39339381_6_0.png | ga5798 | ge | ✗ | 1.00 | 0.17 
39340307-39340307_4_0.png | gg7815 | ge | ✗ | 1.00 | 0.17 
39340307-39340307_4_1.png | ssi836 | ess[836 | ✗ | 0.19 | 0.67 
39340307-39340307_4_2.png | ii365gg | em3365g6 | ✗ | 0.19 | 0.43 
39340309-39340309_4_0.png | ge0962 | ge0962 | ✓ | 0.88 | 1.00 
39340483-39340483_1_0.png | gt3857 | ge | ✗ | 0.99 | 0.17 
39341069-39341069_3_0.png | mm059vv | mm059vv | ✓ | 0.70 | 1.00 
39341326-39341326_2_0.png | ge5536 | ge5536 | ✓ | 0.57 | 1.00 
39341358-39341358_5_0.png | pp544aa | ge | ✗ | 1.00 | 0.00 
39341570-39341570_3_0.png | vv8970v | ~labtqb | ✗ | 0.03 | 0.00 
39341570-39341570_3_1.png | wg406gw | wg406gh | ✗ | 0.46 | 0.86 
39342071-39342071_2_0.png | r0939bi | ge | ✗ | 0.98 | 0.00 
39342189-39342189_9_0.png | hh540ll | hk54oll | ✗ | 0.41 | 0.71 
39342363-39342363_4_0.png | tt042t0 | tt042t0 | ✓ | 0.31 | 1.00 
39342502-39342502_7_0.png | 00935rr | 00935rr | ✓ | 1.00 | 1.00 
39342601-39342601_3_0.png | 0w587w0 | 0582ho | ✗ | 0.71 | 0.43 
39342601-39342601_3_1.png | wm111wm | hm111hm | ✗ | 0.24 | 0.71 
39342752-39342752_2_0.png | gg0736 | ge | ✗ | 1.00 | 0.17 
39342961-39342961_2_0.png | lyz100 | ge0 | ✗ | 0.37 | 0.17 
39343230-39343230_3_0.png | ge0059 | ge | ✗ | 0.91 | 0.33 
39343409-39343409_14_0.png | ge1945 | ge71945 | ✗ | 0.49 | 0.83 
39343593-39343593_2_0.png | gg6628 | 6g6628 | ✗ | 0.56 | 0.83 
39344927-39344927_3_0.png | aa705xx | aa705xx | ✓ | 0.48 | 1.00 
39345138-39345138_7_0.png | ak777hl | ak777hl | ✓ | 0.86 | 1.00 
39346537-39346537_2_0.png | vb455vb | vb455vb | ✓ | 0.86 | 1.00 
39348536-39348536_3_0.png | 0u090u0 | ou020uo_ | ✗ | 0.17 | 0.43 
39348832-39348832_2_0.png | hkh909 | hkhg9 | ✗ | 0.50 | 0.67 
39349817-39349817_3_0.png | em555ka | em555ka: | ✗ | 0.41 | 0.86 
39350694-39350694_4_0.png | al500be | al5odbe | ✗ | 0.40 | 0.71 
39351380-39351380_3_0.png | hh672ll | ha672ll | ✗ | 0.35 | 0.86 
39351607-39351607_4_0.png | vd416dv | vd416dv | ✓ | 0.40 | 1.00 
39352219-39352219_1_0.png | ii305dd | 305dd | ✗ | 0.23 | 0.71 
39352330-39352330_14_0.png | gu500ra | gu5o0ra | ✗ | 0.79 | 0.86 
39352652-39352652_12_0.png | gt4026 | ge | ✗ | 0.95 | 0.17 
39352939-39352939_12_0.png | mi025ss | ge | ✗ | 1.00 | 0.00 
39353213-39353213_11_0.png | hj396jh | hj396jhd | ✗ | 0.48 | 0.86 
39353533-39353533_3_0.png | ja100mr | jr | ✗ | 0.74 | 0.29 
39353905-39353905_4_0.png | ge9891 | geo8mn | ✗ | 0.54 | 0.50 
39354508-39354508_1_0.png | rhr368 | grhre368 | ✗ | 0.70 | 0.67 
39355038-39355038_8_0.png | mm916mw | mm216m | ✗ | 0.44 | 0.71 
39355670-39355670_1_0.png | ga3093 | ge | ✗ | 1.00 | 0.17 
39356825-39356825_9_0.png | dt333ex | d:333ex | ✗ | 0.31 | 0.86 
39357012-39357012_2_0.png | le001ch | leoo1ch | ✗ | 0.38 | 0.71 
39357030-39357030_4_0.png | t0700da | to700da | ✗ | 0.42 | 0.86 
39357041-39357041_4_0.png | ww909mm | hw909mm | ✗ | 0.35 | 0.86 
39357315-39357315_5_0.png | gt3363 | gt3363 | ✓ | 0.99 | 1.00 
39357537-39357537_1_0.png | tn635nt | tn635nt | ✓ | 0.78 | 1.00 
39357570-39357570_6_0.png | ge8613 | ge8613 | ✓ | 0.93 | 1.00 
39358648-39358648_1_0.png | d0011it | ge | ✗ | 1.00 | 0.00 
39359460-39359460_4_0.png | ga8274 | ga8274 | ✓ | 0.71 | 1.00 
39359595-39359595_4_0.png | i0060i0 | 0060l0 | ✗ | 0.14 | 0.71 
39359675-39359675_10_0.png | sp011ec | spoiec: | ✗ | 0.23 | 0.43 
39362622-39362622_2_0.png | 00636hh | 00636hh | ✓ | 0.94 | 1.00 
39363006-39363006_1_0.png | zn880nz | zn880nz | ✓ | 0.75 | 1.00 
39363751-39363751_4_0.png | gg1021 | 661021 | ✗ | 0.80 | 0.67 
39364628-39364628_1_0.png | ge6926 | ge6926 | ✓ | 0.87 | 1.00 
39364712-39364712_3_0.png | am030ge | an030ge | ✗ | 0.75 | 0.86 
39370468-39370468_1_0.png | r0888da | ro888*da | ✗ | 0.85 | 0.71 
39371738-39371738_8_0.png | rr685yy | rr685vy | ✗ | 0.18 | 0.86 
39372956-39372956_1_0.png | ej435je | ej435je | ✓ | 0.93 | 1.00 
39376589-39376589_1_0.png | jj223uu | ge | ✗ | 1.00 | 0.00 
39378478-39378478_3_0.png | tm1000a | ge | ✗ | 0.99 | 0.00 
39378886-39378886_5_0.png | pl461lp | ge | ✗ | 1.00 | 0.00 
39380451-39380451_4_0.png | zu517ka | ge | ✗ | 0.95 | 0.00 
39380766-39380766_2_0.png | da788t0 | da788to | ✗ | 0.98 | 0.86 
39381020-39381020_4_0.png | mm756mk | ge | ✗ | 1.00 | 0.00 
39381651-39381651_9_0.png | gk090gk | gk020gk | ✗ | 0.28 | 0.86 
39381711-39381711_1_0.png | ga3627 | ga3627 | ✓ | 0.97 | 1.00 
39382700-39382700_2_0.png | aw902aw | ge | ✗ | 0.96 | 0.00 
39383243-39383243_8_0.png | ge4338 | ge4338 | ✓ | 0.93 | 1.00 
39383375-39383375_7_0.png | nr690rn | nr620rnb | ✗ | 0.32 | 0.71 
39383396-39383396_2_1.png | wv270ww | kv:270wh | ✗ | 0.61 | 0.57 
39383853-39383853_1_0.png | kk978ww | kk978hw | ✗ | 0.63 | 0.86 
39383902-39383902_3_0.png | m0444re | mo444re | ✗ | 0.42 | 0.86 
39385306-39385306_6_0.png | gf440gf | gf440gf | ✓ | 0.90 | 1.00 
39386486-39386486_4_0.png | uu635uv | uu635uv | ✓ | 0.94 | 1.00 
39386594-39386594_4_1.png | ga6758 | ga6758 | ✓ | 0.32 | 1.00 
39386643-39386643_5_0.png | gg7445 | 667445 | ✗ | 0.80 | 0.67 
39387197-39387197_6_0.png | ff361vv | ff361v | ✗ | 0.68 | 0.86 
39387941-39387941_2_0.png | ik09300 | ik09300 | ✓ | 0.59 | 1.00 
39388174-39388174_3_0.png | bb168ll | bb168lla | ✗ | 0.52 | 0.86 
39388886-39388886_1_0.png | lt297tt | li227itd | ✗ | 0.35 | 0.43 
39389072-39389072_4_0.png | vq667qv | vo662qv | ✗ | 0.46 | 0.71 
39390335-39390335_1_0.png | gt2929 | ge | ✗ | 1.00 | 0.17 
39390449-39390449_2_0.png | ss040sq | ss04osq | ✗ | 0.28 | 0.86 
39390627-39390627_4_0.png | ga0306 | g40306 | ✗ | 0.64 | 0.83 
39391182-39391182_4_0.png | th798ht | th798ht | ✓ | 0.64 | 1.00 
39391332-39391332_1_0.png | nn051hn | nn054hn | ✗ | 0.79 | 0.86 
39391354-39391354_3_0.png | dd011vv | ge | ✗ | 1.00 | 0.00 
39391731-39391731_6_0.png | s0171fi | ge | ✗ | 1.00 | 0.00 
39392163-39392163_5_0.png | ga1266 | ga1266 | ✓ | 0.80 | 1.00 
39392284-39392284_6_0.png | cyc183 | @cyc?183 | ✗ | 0.58 | 0.67 
39392402-39392402_3_0.png | aa315ss | ge | ✗ | 0.75 | 0.00 
39392857-39392857_5_0.png | gg8990 | gg8990 | ✓ | 0.46 | 1.00 
39392913-39392913_6_0.png | ga6778 | ga6778 | ✓ | 0.99 | 1.00 
39393001-39393001_3_0.png | gt1656 | gt1656 | ✓ | 0.94 | 1.00 
39393481-39393481_3_0.png | qq502ee | @0502ee | ✗ | 0.30 | 0.71 
39393771-39393771_5_0.png | jj670uu | jj670u] | ✗ | 0.61 | 0.86 
39394244-39394244_1_0.png | cg542cg | cg542cg | ✓ | 0.79 | 1.00 
39394580-39394580_2_0.png | br504d0 | br504do | ✗ | 0.65 | 0.86 
39394580-39394580_8_0.png | sp076ss | sp076ss | ✓ | 0.51 | 1.00 
39394637-39394637_5_0.png | ge7996 | ge7926 | ✗ | 0.67 | 0.83 
39394647-39394647_2_0.png | ga6066 | ga6066 | ✓ | 0.64 | 1.00 
39394668-39394668_4_0.png | gg9870 | ge | ✗ | 1.00 | 0.17 
39394759-39394759_1_0.png | ted090 | iedog | ✗ | 0.47 | 0.33 
39394816-39394816_2_0.png | sc669sc | sc662sc | ✗ | 0.37 | 0.86 
39395312-39395312_6_0.png | nn377hn | nn:327hn | ✗ | 0.10 | 0.71 
39395873-39395873_5_0.png | ga4573 | ge | ✗ | 1.00 | 0.17 
39396369-39396369_3_0.png | zz746ww | ige | ✗ | 0.75 | 0.00 
39396438-39396438_5_0.png | zz533zi | zz533zl | ✗ | 0.49 | 0.86 
39398707-39398707_1_0.png | gg9062 | gg9062 | ✓ | 0.43 | 1.00 
39399129-39399129_1_0.png | nn619ff | na612fe | ✗ | 0.19 | 0.57 
39399129-39399129_1_1.png | ke505ke | ge | ✗ | 1.00 | 0.14 
39399207-39399207_2_0.png | msd001 | gmsdo01 | ✗ | 0.89 | 0.67 
39400102-39400102_2_0.png | dq454qd | @04540d | ✗ | 0.18 | 0.57 
39400639-39400639_6_0.png | gg755gq | ge | ✗ | 0.99 | 0.14 
39402740-39402740_6_0.png | gg6275 | 666275 | ✗ | 0.58 | 0.67 
39402874-39402874_4_0.png | ge7537 | ge7537 | ✓ | 0.93 | 1.00 
39404192-39404192_3_0.png | ws480sw | ge | ✗ | 1.00 | 0.00 
39404323-39404323_2_0.png | tt687hh | ge | ✗ | 1.00 | 0.00 
39406223-39406223_1_0.png | uvv604 | geuvve604 | ✗ | 0.64 | 0.50 
39408508-39408508_6_0.png | gg0478 | 660478 | ✗ | 0.72 | 0.67 
39408918-39408918_1_0.png | kr111sl | krislb | ✗ | 0.11 | 0.43 
39409354-39409354_9_0.png | gt1472 | gt1472 | ✓ | 0.93 | 1.00 
39409654-39409654_7_0.png | zz436zs | zz436zs | ✓ | 0.82 | 1.00 
39409848-39409848_14_0.png | di011ii | 0i011 | ✗ | 0.35 | 0.57 
39411242-39411242_4_0.png | ptp014 | ptp14 | ✗ | 0.09 | 0.83 
39413975-39413975_1_0.png | yy230rr | ge | ✗ | 1.00 | 0.00 
39413983-39413983_3_0.png | uu787ug | ge | ✗ | 1.00 | 0.00 
39414991-39414991_1_0.png | la777ex | ge | ✗ | 0.83 | 0.14 
39415089-39415089_6_0.png | ii183li | 783li: | ✗ | 0.18 | 0.43 
39415126-39415126_4_0.png | gg7081 | gg7081 | ✓ | 0.55 | 1.00 
39415168-39415168_1_0.png | qq553pp | 00553pp | ✗ | 0.88 | 0.71 
39415169-39415169_1_0.png | ge3504 | ge3504 | ✓ | 0.45 | 1.00 
39415183-39415183_1_0.png | vy250yv | w25onv: | ✗ | 0.10 | 0.29 
39415222-39415222_1_0.png | fv058vf | fv058vf | ✓ | 0.58 | 1.00 
39415243-39415243_2_0.png | 0w587w0 | f05874o | ✗ | 0.41 | 0.43 
39415243-39415243_2_1.png | wm111wm | hmi11hm | ✗ | 0.13 | 0.57 
39415303-39415303_4_0.png | bi181bi | bl181bl | ✗ | 0.84 | 0.71 
39415333-39415333_3_0.png | mm519mh | mn512nh | ✗ | 0.39 | 0.57 
39415360-39415360_1_0.png | aa695ee | aa625ee: | ✗ | 0.47 | 0.71 
39415504-39415504_4_0.png | aa784xa | aa784xa | ✓ | 0.94 | 1.00 
