Image Name | Expected Plate | Detected Plate | Match | CER 
695.png | 50sz150 | iw50sz156 | ✗ | 0.57 
696.png | 08xx800 | =~!08xx806] | ✗ | 0.29 
698.png | 89dq888 | awo9dq888 | ✗ | 0.57 
699.png | 36mf814 | sm00mf814 | ✗ | 0.43 
70.png | 60mm800 | aw60mm866 | ✗ | 0.43 
700.png | 36dm548 | mm36dm5484 | ✗ | 0.57 
701.png | 36sn104 | wml00sn104 | ✗ | 0.29 
703.png | 80cp990 | “!80cp99gbtaebeet | ✗ | -0.57 
704.png | 99ud909 | am!99ud909 | ✗ | 0.57 
705.png | 70ap707 | am2uap707 | ✗ | 0.43 
706.png | 19tq001 | awl19tqgoi | ✗ | 0.14 
707.png | 36xx042 | aw’36xxg42) | ✗ | 0.29 
708.png | 36vv994 | iw50vv994 | ✗ | 0.43 
710.png | 95tm005 | =95tmo05 | ✗ | 0.71 
711.png | 71gu717 | he71gu717 | ✗ | 0.71 
712.png | 70fu070 | iw20fu676) | ✗ | 0.14 
714.png | 36ua539 | 136ua539 | ✗ | 0.86 
715.png | 36qf181 | wt96qf181) | ✗ | 0.43 
717.png | 13cc999 | wi13cc999 | ✗ | 0.71 
718.png | 01tt135 | iw!g1tt135) | ✗ | 0.29 
720.png | 09oo090 | wtu9ooo9g | ✗ | 0.29 
721.png | 73ga737 | mw19ga737 | ✗ | 0.43 
722.png | 35ms630 | im39ms63g | ✗ | 0.43 
723.png | 71ma700 | aml21ma766; | ✗ | 0.00 
724.png | 02td101 | ~o2td161] | ✗ | 0.43 
725.png | 47rp047 | wl47rpg47 | ✗ | 0.57 
726.png | 01nv021 | mwolnv621) | ✗ | 0.14 
727.png | 01rr177 | mm!g1rr177 | ✗ | 0.43 
728.png | 10dr055 | wwe | ✗ | 0.00 
729.png | 36rz868 | mt36rz868 | ✗ | 0.71 
731.png | 05ag055 | l605ag655 | ✗ | 0.57 
732.png | 11ml505 | awl12ml565 | ✗ | 0.29 
733.png | 36qg952 | aml30og952 | ✗ | 0.29 
734.png | 74uq777 | eu!74uq777] | ✗ | 0.43 
735.png | 36zz765 | im30zz769] | ✗ | 0.29 
736.png | 13mn003 | 13mngus | ✗ | 0.57 
737.png | 91dn009 | aw91dngo9 | ✗ | 0.43 
738.png | 36xo368 | ul36xo368} | ✗ | 0.57 
740.png | 36xr775 | mutooxr779 | ✗ | 0.14 
741.png | 36zc453 | aul30zu453 | ✗ | 0.29 
743.png | 11gp110 | aw11gp17g | ✗ | 0.43 
745.png | 36lg550 | 36lg556) | ✗ | 0.71 
746.png | 79qa779 | ov29qa779 | ✗ | 0.57 
747.png | 88xm887 | laatbbxm857 | ✗ | 0.00 
748.png | 36ut833 | {ou36ut833 | ✗ | 0.57 
749.png | 05oq070 | 09oqg76 | ✗ | 0.57 
750.png | 80ar800 | aw!86ar866: | ✗ | 0.00 
752.png | 35sm611 | ul39sm611: | ✗ | 0.43 
753.png | 01lg202 | ~o01lg262] | ✗ | 0.43 
755.png | 53uu555 | 153uu555a | ✗ | 0.71 
756.png | 36ux043 | aw00uxg43 | ✗ | 0.29 
757.png | 60va099 | owtogva099 | ✗ | 0.29 
759.png | 35of658 | vl39of658 | ✗ | 0.57 
760.png | 35xr837 | a35xr837 | ✗ | 0.86 
761.png | 69co696 | ut69to696 | ✗ | 0.57 
762.png | 35dx153 | aw!39dx453] | ✗ | 0.14 
763.png | 05dm505 | ul05dm565) | ✗ | 0.43 
766.png | 88xq988 | wl88xq988 | ✗ | 0.71 
8.png | 77cp772 | m2?cp722] | ✗ | 0.29 
9.png | 80xf080 | ‘600xf080: | ✗ | 0.43 
39327125-39327125_2_0.png | js929sj | mejs929sj | ✗ | 0.71 
39328108-39328108_10_0.png | mm569mm | femn569mm | ✗ | 0.57 
39335223-39335223_10_0.png | ge100sh | age7100sh | ✗ | 0.71 
39335755-39335755_7_0.png | yr111sh | =yr111sh | ✗ | 0.86 
39340307-39340307_4_2.png | ii365gg | &11365ge | ✗ | 0.43 
39341358-39341358_5_0.png | pp544aa | =pp544aa« | ✗ | 0.71 
39341570-39341570_3_1.png | wg406gw | wg406gh | ✗ | 0.86 
39342189-39342189_9_0.png | hh540ll | fhh540ll | ✗ | 0.86 
39344927-39344927_3_0.png | aa705xx | iaa705xx | ✗ | 0.86 
39349817-39349817_3_0.png | em555ka | eem555ka« | ✗ | 0.71 
39351380-39351380_3_0.png | hh672ll | phh672ll | ✗ | 0.86 
39351607-39351607_4_0.png | vd416dv | fevd416dv | ✗ | 0.71 
39352219-39352219_1_0.png | ii305dd | =1305dd | ✗ | 0.71 
39352939-39352939_12_0.png | mi025ss | eim1025ss« | ✗ | 0.43 
39353213-39353213_11_0.png | hj396jh | hj396jh | ✓ | 1.00 
39353533-39353533_3_0.png | ja100mr | leja100mr | ✗ | 0.71 
39354508-39354508_1_0.png | rhr368 | crhr*368 | ✗ | 0.67 
39356825-39356825_9_0.png | dt333ex | fdt333ex« | ✗ | 0.71 
39357030-39357030_4_0.png | t0700da | to700da | ✗ | 0.86 
39357537-39357537_1_0.png | tn635nt | =tn635nt | ✗ | 0.86 
39358648-39358648_1_0.png | d0011it | do0111t | ✗ | 0.71 
39363006-39363006_1_0.png | zn880nz | zn880nz« | ✗ | 0.86 
39364712-39364712_3_0.png | am030ge | aw040uc | ✗ | 0.43 
39370468-39370468_1_0.png | r0888da | =ro888da | ✗ | 0.71 
39376589-39376589_1_0.png | jj223uu | ejj223uu« | ✗ | 0.71 
39378478-39378478_3_0.png | tm1000a | th1000a | ✗ | 0.86 
39380766-39380766_2_0.png | da788t0 | fa788to« | ✗ | 0.57 
39381020-39381020_4_0.png | mm756mk | imm756mk | ✗ | 0.86 
39381711-39381711_1_0.png | ga3627 | f=ga3627 | ✗ | 0.67 
39383396-39383396_2_1.png | wv270ww | #wv270wh | ✗ | 0.71 
39383853-39383853_1_0.png | kk978ww | kk978wh | ✗ | 0.86 
39387197-39387197_6_0.png | ff361vv | bfe361vv= | ✗ | 0.57 
39388886-39388886_1_0.png | lt297tt | rel12971t | ✗ | 0.43 
39389072-39389072_4_0.png | vq667qv | be\q667qv | ✗ | 0.57 
39391332-39391332_1_0.png | nn051hn | =nn051hna | ✗ | 0.71 
39391731-39391731_6_0.png | s0171fi | ffso171fi | ✗ | 0.57 
39392284-39392284_6_0.png | cyc183 | hoc¥c*183 | ✗ | 0.33 
39392402-39392402_3_0.png | aa315ss | &aa315ss | ✗ | 0.86 
39393771-39393771_5_0.png | jj670uu | jj670uu | ✓ | 1.00 
39394244-39394244_1_0.png | cg542cg | 1cg542cg | ✗ | 0.86 
39394580-39394580_8_0.png | sp076ss | b=sp076ss | ✗ | 0.71 
39394647-39394647_2_0.png | ga6066 | ° | ✗ | 0.00 
39394759-39394759_1_0.png | ted090 | cled*090 | ✗ | 0.50 
39394816-39394816_2_0.png | sc669sc | ~¢ | ✗ | 0.00 
39395312-39395312_6_0.png | nn377hn | =nn377hn« | ✗ | 0.71 
39396369-39396369_3_0.png | zz746ww | fe77746wh« | ✗ | 0.14 
39396438-39396438_5_0.png | zz533zi | m7z535z1« | ✗ | 0.29 
39398707-39398707_1_0.png | gg9062 | fe°gg9062: | ✗ | 0.33 
39400102-39400102_2_0.png | dq454qd | 10454qd<1 | ✗ | 0.43 
39404323-39404323_2_0.png | tt687hh | ett687hh | ✗ | 0.86 
39406223-39406223_1_0.png | uvv604 | “uvv604 | ✗ | 0.83 
39409848-39409848_14_0.png | di011ii | =010111~ | ✗ | 0.29 
39413975-39413975_1_0.png | yy230rr | ivv930rr« | ✗ | 0.29 
39413983-39413983_3_0.png | uu787ug | ”yu787ug | ✗ | 0.71 
39415089-39415089_6_0.png | ii183li | elt100'li¢ | ✗ | 0.00 
39415183-39415183_1_0.png | vy250yv | fmvv250vv | ✗ | 0.43 
39415303-39415303_4_0.png | bi181bi | #bi181bl« | ✗ | 0.57 
39415360-39415360_1_0.png | aa695ee | =an695ee | ✗ | 0.71 
39415504-39415504_4_0.png | aa784xa | fiaa784xa | ✗ | 0.71 
39415518-39415518_2_0.png | uu387mm | f=u387mn | ✗ | 0.57 
39415710-39415710_1_0.png | 0v924vv | ov924vv} | ✗ | 0.71 
39415948-39415948_1_0.png | df880fd | ~df880fd | ✗ | 0.86 
39415970-39415970_3_0.png | ba777dl | bba777dl« | ✗ | 0.71 
39415999-39415999_5_0.png | pp544aa | mepp544a | ✗ | 0.57 
39416120-39416120_3_0.png | qq925pp | #0q925pp | ✗ | 0.71 
39416183-39416183_1_0.png | ng050ng | ng050ng | ✓ | 1.00 
39416310-39416310_1_0.png | vd416dv | vd416dv> | ✗ | 0.86 
39416317-39416317_3_0.png | nf109fn | =nf109fn« | ✗ | 0.71 
39416826-39416826_2_0.png | aa507aw | m=aa507aw | ✗ | 0.71 
39416849-39416849_1_0.png | gnn441 | ceonn441 | ✗ | 0.50 
39416849-39416849_5_0.png | gnn441 | =:gnn441] | ✗ | 0.50 
39417001-39417001_3_0.png | td875dt | td875dt | ✓ | 1.00 
39417310-39417310_3_0.png | xb932xb | ©\xb932xb | ✗ | 0.71 
39417354-39417354_1_0.png | pp670zz | =pp670z2« | ✗ | 0.57 
39417365-39417365_1_0.png | jj901uu | ~jj901uu | ✗ | 0.86 
39417398-39417398_6_0.png | td875dt | fetd875dt | ✗ | 0.71 
39417485-39417485_1_0.png | q0111ti | #q0111t1 | ✗ | 0.71 
39417556-39417556_3_0.png | ucu012 | «ucu012 | ✗ | 0.83 
39417570-39417570_2_0.png | sp047ps | sp047 | ✗ | 0.71 
39417620-39417620_3_0.png | sb740bs | besb74085 | ✗ | 0.43 
39417646-39417646_8_0.png | ga1866 | ga1866° | ✗ | 0.83 
39417655-39417655_1_0.png | es280se | es280se1 | ✗ | 0.86 
39418033-39418033_1_0.png | pp876xx | epp876xx« | ✗ | 0.71 
39418059-39418059_6_0.png | cc644pp | =cc644pp | ✗ | 0.86 
39418349-39418349_1_0.png | nn521nh | nn521nh | ✓ | 1.00 
39418468-39418468_2_0.png | uu387mm | f=u387mn | ✗ | 0.57 
39418478-39418478_1_0.png | xx593xy | =xx593xv | ✗ | 0.71 
39418481-39418481_5_0.png | ma012te | bema012te« | ✗ | 0.57 
39418617-39418617_3_0.png | tb771bt | [='tb771“bt« | ✗ | 0.29 
39418672-39418672_8_0.png | xp352px | xp352px> | ✗ | 0.86 
39418742-39418742_4_0.png | zpz477 | celpz477 | ✗ | 0.50 
004W26.png | zh933108 | 15zh933108' | ✗ | 0.62 
005LAZ9.png | 7vtg00 | [(7vtg00) | ✗ | 0.50 
009I3B.png | elc16007 | eielc166007]“ | ✗ | 0.38 
009LAL.png | 7vtg00 | ~7vtg00) | ✗ | 0.67 
00E8V.png | 6a83007 | i6a83007] | ✗ | 0.71 
00PP8BS.png | sb84400 | nh=>)) | ✗ | 0.00 
06I846.png | 9t81190 | #9t8°1190 | ✗ | 0.71 
06L9.png | etb903 | etb903; | ✗ | 0.83 
08G9VY.png | 4a49850 | b4a49850 | ✗ | 0.86 
08ZCZ.png | rp73280 | rp:73280} | ✗ | 0.71 
09CI0Z5.png | z01350 | <i=a201350: | ✗ | 0.00 
09CL0ZE.png | z01350 | il201350% | ✗ | 0.33 
09RX.png | kea601 | skea601] | ✗ | 0.67 
0C96ZVZ.png | 2az9530 | mm2az°9530 | ✗ | 0.57 
0E96HZ6.png | hz933108 | 45zh955108' | ✗ | 0.25 
0E96Z.png | zh933108 | 3zh933108+ | ✗ | 0.75 
0P9SZ35.png | scz56402 | scz:564025 | ✗ | 0.75 
0Z1L0VZ.png | 2aj1420 | 2a1420} | ✗ | 0.71 
0Z686ZC.png | 3z98970 | 3798970} | ✗ | 0.71 
0Z98LX.png | xtr520 | xtr5201 | ✗ | 0.83 
0ZVZASC.png | 3sy2120 | 3sy°2120j | ✗ | 0.71 
16KCXS.png | 1sx7945 | e1sx7945 | ✗ | 0.86 
18T.png | 4sl8421 | asl°8427 | ✗ | 0.57 
1B09HSY.png | ksh509 | ‘ksh509} | ✗ | 0.67 
26VTN.png | rja64928 | bria649289 | ✗ | 0.62 
30HSL4.png | 715hoe | 715hoe} | ✗ | 0.83 
30WSL4.png | 715hoe | 1715hoe | ✗ | 0.83 
33VV66.png | 99aace | 99aace | ✓ | 1.00 
3A4S08.png | 80sp5e | 80sp5e4 | ✗ | 0.83 
3CZL0SL.png | 15u73e | 15u73e | ✓ | 1.00 
3IS8ZZ.png | 778sie | 7782s1e:: | ✗ | 0.33 
3S6CZ8.png | bz395e | b2395e§f | ✗ | 0.50 
3WVV99.png | 55aare | 55aares | ✗ | 0.83 
3Z78V8.png | 8arl7e | 8arl7e | ✓ | 1.00 
3Z97X8.png | 8k262e | 8k2°62e | ✗ | 0.83 
3ZB999.png | 655e2e | 655°eze | ✗ | 0.67 
4Z6LZ8L.png | 1bz1927 | =1bz1927 | ✗ | 0.86 
6C83SZ.png | 2se8392 | fe2se8392 | ✗ | 0.71 
6C9H3.png | crr439 | pcrr°439% | ✗ | 0.50 
6CZ86YD.png | kta98739 | kta98739 | ✓ | 1.00 
6CZ975C.png | psz67398 | bepsz67398 | ✗ | 0.75 
6I6CNQ.png | dnj919 | pdnj29194 | ✗ | 0.50 
6S606ZB.png | rz90959 | berz90959] | ✗ | 0.57 
6SH9S0L.png | tos4r59 | atos'4r59} | ✗ | 0.57 
6Z0681BM.png | wra87079 | =o:—concenino | ✗ | -0.62 
6ZR8XA89.png | 8vxr29 | @8vxr29) | ✗ | 0.67 
7ZZ8989.png | 6b68772 | :6b687724 | ✗ | 0.71 
8C403HH.png | hcu738 | }oo=\3]wo< | ✗ | -0.50 
8CZ760.png | dble738 | adble738i | ✗ | 0.71 
8G8HQ0.png | dch898 | dch898) | ✗ | 0.83 
8I0C9JU.png | rp63018 | irp°630185 | ✗ | 0.57 
8J24218.png | 8127tf89 | #8127tf89 | ✗ | 0.88 
8K00BZM.png | 2z53078 | 82753078) | ✗ | 0.57 
8O05N3.png | enqc108 | menqc108) | ✗ | 0.71 
8ZWSM.png | wgm7a86 | bwgm:7a86 | ✗ | 0.71 
8ZX0ZP9.png | 4zdx28 | ©4zdx28: | ✗ | 0.67 
9AC9Z00.png | ddz63v6 | bddz:63v6) | ✗ | 0.57 
9BCZZHS.png | sh77386 | lon | ✗ | 0.00 
9C16YVZZS.png | 572avl34 | 2572avl349 | ✗ | 0.75 
9C3984.png | 88gfj8 | a88gfj387] | ✗ | 0.33 
9C3HL4M.png | 7thf36 | (a>7thf36) | ✗ | 0.33 
9C69TB.png | rja94367 | arja:94367] | ✗ | 0.62 
9C6M4.png | 74gbj5 | 74gbj5: | ✗ | 0.83 
9CIL089.png | kpo134 | ikkpo134) | ✗ | 0.50 
9CPI2B.png | rp71438 | arp71438] | ✗ | 0.71 
9I070H.png | ful016 | tful°016] | ✗ | 0.50 
9I6288.png | rp79161 | bre'79161] | ✗ | 0.43 
9I9J3D.png | get516 | sget°516] | ✗ | 0.50 
9IZBHHX.png | khr218 | mkhr218} | ✗ | 0.67 
9J95P.png | 34gkt6 | 34gkt6 | ✓ | 1.00 
9LNH29.png | 67hnt4 | 67hnt4 | ✓ | 1.00 
9PCL23B.png | rp77346 | arp77346] | ✗ | 0.71 
9PLHHHH.png | hhp145 | shhp:145 | ✗ | 0.67 
9S6N9SL.png | 156m956 | =156m956e | ✗ | 0.71 
9S8C.png | jrs867 | jrs867] | ✗ | 0.83 
9S9N09.png | eon656 | eon°656] | ✗ | 0.67 
9SZHJX.png | kph254 | mkph254] | ✗ | 0.67 
9W4999.png | 66gpr4 | 66gprs4 | ✗ | 0.83 
9XX460.png | 2037xy62 | xy62} | ✗ | 0.38 
9YCXSCV.png | jsk346 | fisk346_ | ✗ | 0.50 
9Z00HHV.png | fho076 | efho076) | ✗ | 0.67 
9Z0HS.png | jsh076 | isjish076) | ✗ | 0.33 
9Z0S05S.png | sg05876 | sg05876 | ✓ | 1.00 
9Z68689.png | 5b98926 | &5b98926 | ✗ | 0.86 
9Z97WS.png | 2sn2675 | 2sn22675 | ✗ | 0.86 
9Z9C9LC.png | 3t63526 | ©376°3526 | ✗ | 0.57 
9ZAAQZ.png | ezdyv76 | bezd:yv76) | ✗ | 0.57 
9ZC0SW.png | rls03761 | erls037619 | ✗ | 0.75 
9ZLPL0TT.png | lc74176 | elc74176 | ✗ | 0.86 
9ZLZZ89.png | 82ztz6 | (@827t7z6) | ✗ | 0.17 
9ZZ8HH.png | hrz264 | shrz:264 | ✗ | 0.67 
9ZZC77.png | 4j37269 | elj37269 | ✗ | 0.71 
9ZZHHH.png | hrz264 | fhrz:264) | ✗ | 0.50 
A001OT716.png | a001ot716 | [a0010t716) | ✗ | 0.67 
A003YX763.png | a003yx763 | [n003yx763) | ✗ | 0.67 
A004BY763.png | a004by763 | fa004byi763} | ✗ | 0.67 
A004KB197.png | a004kb197 | a004k | ✗ | 0.56 
A009YK763.png | a009yk763 | ao009yk\76= | ✗ | 0.67 
A014PH799.png | a014ph799 | 48014ph99 | ✗ | 0.67 
B001XB99.png | b001xb99 | 13001xb99} | ✗ | 0.62 
B002EK164.png | b002ek164 | 1nboo2ek164y | ✗ | 0.44 
B002KA186.png | b002ka186 | 7b002ka186) | ✗ | 0.78 
B003OH82.png | b003oh82 | !boo3o0h82+ | ✗ | 0.38 
B004HP116.png | b004hp116 | boo4hp116 | ✗ | 0.78 
B005AA150.png | b005aa150 | boosaa150) | ✗ | 0.56 
B006TX177_0.png | b006tx177 | ‘boo6tx177 | ✗ | 0.67 
B007BO116_0.png | b007bo116 | b007bo\116 | ✗ | 0.89 
B008AB102.png | b008ab102 | lboos8aabi1024 | ✗ | 0.22 
B009PP777.png | b009pp777 | boo9pp7 | ✗ | 0.56 
C001TC777.png | c001tc777 | c001tc)777 | ✗ | 0.89 
C007YK77.png | c007yk77 | c007yk77 | ✓ | 1.00 
C010BH30.png | e245bc08 | e245bc08: | ✗ | 0.88 
C010CC38.png | c010cc38 | 8>)1'c010cc) | ✗ | 0.12 
C010PT78.png | c010pt78 | c010pt28} | ✗ | 0.75 
C028CC163.png | c028cc163 | c028cc163 | ✓ | 1.00 
C033EX138.png | c033ex138 | coll>sco33ex!1 | ✗ | -0.11 
E007CX98.png | e007cx98 | e007cx98} | ✗ | 0.88 
E007PT21.png | e007pt21 | \eoo7pt21 | ✗ | 0.62 
E007YH199.png | e007yh199 | “enn7vu1199e007yh199 | ✗ | -0.22 
E010OH799.png | e010oh799 | eo100h799) | ✗ | 0.67 
E015EK763.png | e015ek763 | peo15ek763} | ✗ | 0.67 
E023KX98.png | e023kx98 | e023kx(98: | ✗ | 0.75 
E028CB82.png | e028cb82 | r=028cb82: | ✗ | 0.62 
H004PC55.png | h004pc55 | ho004pc994 | ✗ | 0.50 
H004TH152.png | h004th152 | 1h004th1524 | ✗ | 0.78 
H005CO47.png | h005co47 | ‘hoo5co47: | ✗ | 0.50 
H007MB177_0.png | h007mb177 | ¢h007mb177 | ✗ | 0.89 
H008BE58.png | h008be58 | dhoo8be58 | ✗ | 0.62 
H008OO39_0.png | h008oo39 | ho0080032: | ✗ | 0.38 
H010KT178.png | h010kt178 | 4010k7178) | ✗ | 0.67 
H012XO750.png | h012xo750 | f4012x0750) | ✗ | 0.56 
H018AH32.png | h018ah32 | ho18ah325 | ✗ | 0.75 
H020PC18.png | h020pc18 | ho2' | ✗ | 0.25 
K005EK46.png | k005ek46 | kkoosek46 | ✗ | 0.50 
K006YK163_0.png | k006yk163 | ko0byk163 | ✗ | 0.78 
K007BA77_0.png | k007ba77 | ‘ko007ba72: | ✗ | 0.50 
K007YY102.png | k007yy102 | '«oo7yy102) | ✗ | 0.44 
K007YY31_0.png | k007yy31 | k007yy31: | ✗ | 0.88 
K013KK98_0.png | k013kk98 | tko13kk | ✗ | 0.50 
K021AT134.png | k021at134 | k021at134 | ✓ | 1.00 
M246XB102_0.png | m246xb102 | m246xb102 | ✓ | 1.00 
M249TH37_0.png | m249th37 | “m249ths7 | ✗ | 0.75 
M350XP31_0.png | m350xp31 | mm350xp312 | ✗ | 0.75 
M400KH40_0.png | m400kh40 | 1m400kh40: | ✗ | 0.75 
M419BO163_0.png | m419bo163 | m419b0163 | ✗ | 0.89 
M570YP64_0.png | m570yp64 | “m570yp64: | ✗ | 0.75 
M600CO37_0.png | m600co37 | mm600cco37 | ✗ | 0.75 
